PerceptionValue,MaxSpeed,Layout,GroupsStart,GroupsX1,GroupsX2,GroupsEnd
1.5,1.5,20260908_013309_layout_29,3,4,4,3
1.5,1.5,20260908_013309_layout_30,3,2,2,3
1.5,1.5,20260908_013309_layout_31,4,5,4,3
1.5,1.5,20260908_013309_layout_32,4,3,3,2
1.5,1.5,20260908_013309_layout_33,6,4,4,2
1.5,1.5,20260908_013309_layout_34,1,2,2,2
1.5,1.5,20260908_013309_layout_35,3,3,2,2
1.5,1.5,20260908_013309_layout_36,5,5,5,7
1.5,1.5,20260908_013309_layout_37,4,2,2,4
1.5,1.5,20260908_013309_layout_38,6,6,6,6
1.5,1.5,20260908_013309_layout_39,2,2,2,2
1.5,3.0,20260908_013309_layout_00,2,2,3,4
1.5,3.0,20260908_013309_layout_01,4,4,4,7
1.5,3.0,20260908_013309_layout_02,4,3,3,6
1.5,3.0,20260908_013309_layout_03,3,3,3,9
1.5,3.0,20260908_013309_layout_04,4,3,3,7
1.5,3.0,20260908_013309_layout_05,3,3,4,9
1.5,3.0,20260908_013309_layout_06,2,2,2,6
1.5,3.0,20260908_013309_layout_07,3,3,3,5
1.5,3.0,20260908_013309_layout_08,2,2,2,6
1.5,3.0,20260908_013309_layout_09,5,4,3,3
1.5,3.0,20260908_013309_layout_10,3,3,3,6
1.5,3.0,20260908_013309_layout_11,4,4,4,8
1.5,3.0,20260908_013309_layout_12,1,3,2,3
1.5,3.0,20260908_013309_layout_13,2,2,2,5
1.5,3.0,20260908_013309_layout_14,5,5,6,5
1.5,3.0,20260908_013309_layout_15,4,4,4,4
1.5,3.0,20260908_013309_layout_16,4,2,2,8
1.5,3.0,20260908_013309_layout_17,3,3,3,6
1.5,3.0,20260908_013309_layout_18,4,3,3,5
1.5,3.0,20260908_013309_layout_19,3,5,5,4
1.5,3.0,20260908_013309_layout_20,2,3,2,4
1.5,3.0,20260908_013309_layout_21,5,5,5,6
1.5,3.0,20260908_013309_layout_22,1,2,2,12
1.5,3.0,20260908_013309_layout_23,2,4,4,9
1.5,3.0,20260908_013309_layout_24,3,5,5,9
1.5,3.0,20260908_013309_layout_25,3,3,3,3
1.5,3.0,20260908_013309_layout_26,3,4,6,2
1.5,3.0,20260908_013309_layout_27,4,4,4,7
1.5,3.0,20260908_013309_layout_28,4,4,4,8
1.5,3.0,20260908_013309_layout_29,3,3,3,10
1.5,3.0,20260908_013309_layout_30,3,2,2,9
1.5,3.0,20260908_013309_layout_31,3,4,4,7
1.5,3.0,20260908_013309_layout_32,4,3,3,8
