file,PerceptionValue,MaxSpeed,Layout,eps,x1,x2,t_start,t_x1,t_x2,t_end,GroupsStart,GroupsX1,GroupsX2,GroupsEnd,endReason
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_00.json,0.5,3.0,20260908_013309_layout_00,1.5,-0.25,0.25,1.0,9.616999626159668,9.833000183105469,30.700000762939453,7,6,8,26,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_01.json,0.5,3.0,20260908_013309_layout_01,1.5,-0.25,0.25,1.0,9.517000198364258,9.75,30.700000762939453,6,18,18,14,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_02.json,0.5,3.0,20260908_013309_layout_02,1.5,-0.25,0.25,1.0,9.300000190734863,9.482999801635742,30.700000762939453,11,14,15,18,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_03.json,0.5,3.0,20260908_013309_layout_03,1.5,-0.25,0.25,1.0,9.916999816894531,10.133000373840332,30.700000762939453,5,11,13,19,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_04.json,0.5,3.0,20260908_013309_layout_04,1.5,-0.25,0.25,1.0,9.482999801635742,9.717000007629395,30.700000762939453,5,8,10,21,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_05.json,0.5,3.0,20260908_013309_layout_05,1.5,-0.25,0.25,1.0,8.982999801635742,9.182999610900879,30.700000762939453,6,12,12,19,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_06.json,0.5,3.0,20260908_013309_layout_06,1.5,-0.25,0.25,1.0,8.982999801635742,9.166999816894531,30.700000762939453,4,15,14,12,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_07.json,0.5,3.0,20260908_013309_layout_07,1.5,-0.25,0.25,1.0,9.199999809265137,9.432999610900879,30.700000762939453,8,15,15,16,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_08.json,0.5,3.0,20260908_013309_layout_08,1.5,-0.25,0.25,1.0,9.366999626159668,9.583000183105469,30.700000762939453,2,10,10,17,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_09.json,0.5,3.0,20260908_013309_layout_09,1.5,-0.25,0.25,1.0,9.550000190734863,9.767000198364258,30.700000762939453,10,15,13,19,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_10.json,0.5,3.0,20260908_013309_layout_10,1.5,-0.25,0.25,1.0,9.017000198364258,9.25,30.700000762939453,10,14,14,19,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_11.json,0.5,3.0,20260908_013309_layout_11,1.5,-0.25,0.25,1.0,9.666999816894531,9.899999618530273,30.700000762939453,5,15,15,20,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_12.json,0.5,3.0,20260908_013309_layout_12,1.5,-0.25,0.25,1.0,9.232999801635742,9.583000183105469,30.700000762939453,8,15,15,16,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_13.json,0.5,3.0,20260908_013309_layout_13,1.5,-0.25,0.25,1.0,9.116999626159668,9.333000183105469,30.700000762939453,7,19,15,19,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_14.json,0.5,3.0,20260908_013309_layout_14,1.5,-0.25,0.25,1.0,9.699999809265137,9.916999816894531,30.700000762939453,11,17,18,17,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_15.json,0.5,3.0,20260908_013309_layout_15,1.5,-0.25,0.25,1.0,9.800000190734863,10.0,30.700000762939453,10,8,9,19,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_16.json,0.5,3.0,20260908_013309_layout_16,1.5,-0.25,0.25,1.0,7.083000183105469,7.550000190734863,30.700000762939453,6,11,13,17,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_17.json,0.5,3.0,20260908_013309_layout_17,1.5,-0.25,0.25,1.0,9.317000389099121,9.550000190734863,30.700000762939453,8,17,17,14,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_18.json,0.5,3.0,20260908_013309_layout_18,1.5,-0.25,0.25,1.0,7.566999912261963,7.7829999923706055,30.700000762939453,7,13,14,14,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_19.json,0.5,3.0,20260908_013309_layout_19,1.5,-0.25,0.25,1.0,9.166999816894531,9.399999618530273,30.700000762939453,6,19,19,16,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_20.json,0.5,3.0,20260908_013309_layout_20,1.5,-0.25,0.25,1.0,7.25,7.416999816894531,30.700000762939453,7,12,12,20,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_21.json,0.5,3.0,20260908_013309_layout_21,1.5,-0.25,0.25,1.0,7.017000198364258,7.183000087738037,30.700000762939453,6,12,12,15,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_22.json,0.5,3.0,20260908_013309_layout_22,1.5,-0.25,0.25,1.0,9.267000198364258,9.517000198364258,30.700000762939453,8,10,12,16,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_23.json,0.5,3.0,20260908_013309_layout_23,1.5,-0.25,0.25,1.0,9.366999626159668,9.583000183105469,30.700000762939453,10,16,16,17,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_24.json,0.5,3.0,20260908_013309_layout_24,1.5,-0.25,0.25,1.0,9.75,9.967000007629395,30.700000762939453,11,17,16,15,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_25.json,0.5,3.0,20260908_013309_layout_25,1.5,-0.25,0.25,1.0,9.199999809265137,9.416999816894531,30.700000762939453,8,17,18,18,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_26.json,0.5,3.0,20260908_013309_layout_26,1.5,-0.25,0.25,1.0,9.517000198364258,9.75,30.700000762939453,10,13,13,22,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_27.json,0.5,3.0,20260908_013309_layout_27,1.5,-0.25,0.25,1.0,9.383000373840332,9.633000373840332,30.700000762939453,9,11,11,22,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_28.json,0.5,3.0,20260908_013309_layout_28,1.5,-0.25,0.25,1.0,9.017000198364258,9.232999801635742,30.700000762939453,14,13,13,22,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_29.json,0.5,3.0,20260908_013309_layout_29,1.5,-0.25,0.25,1.0,9.267000198364258,9.467000007629395,30.700000762939453,7,15,15,17,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_30.json,0.5,3.0,20260908_013309_layout_30,1.5,-0.25,0.25,1.0,9.017000198364258,9.232999801635742,30.700000762939453,9,18,19,20,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_31.json,0.5,3.0,20260908_013309_layout_31,1.5,-0.25,0.25,1.0,7.050000190734863,7.2170000076293945,30.700000762939453,6,13,15,24,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_32.json,0.5,3.0,20260908_013309_layout_32,1.5,-0.25,0.25,1.0,8.116999626159668,8.616999626159668,30.700000762939453,7,16,15,20,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_33.json,0.5,3.0,20260908_013309_layout_33,1.5,-0.25,0.25,1.0,9.333000183105469,9.517000198364258,30.700000762939453,9,24,21,15,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_34.json,0.5,3.0,20260908_013309_layout_34,1.5,-0.25,0.25,1.0,7.25,7.617000102996826,30.700000762939453,11,16,18,17,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_35.json,0.5,3.0,20260908_013309_layout_35,1.5,-0.25,0.25,1.0,9.333000183105469,9.567000389099121,30.700000762939453,5,11,10,16,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_36.json,0.5,3.0,20260908_013309_layout_36,1.5,-0.25,0.25,1.0,9.532999992370605,9.75,30.700000762939453,10,14,14,21,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_37.json,0.5,3.0,20260908_013309_layout_37,1.5,-0.25,0.25,1.0,7.166999816894531,7.333000183105469,30.700000762939453,3,12,12,14,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_38.json,0.5,3.0,20260908_013309_layout_38,1.5,-0.25,0.25,1.0,9.532999992370605,9.75,30.700000762939453,7,11,11,22,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_3.00_20260908_013309_layout_39.json,0.5,3.0,20260908_013309_layout_39,1.5,-0.25,0.25,1.0,9.467000007629395,9.633000373840332,30.700000762939453,5,11,11,19,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_00.json,1.0,1.5,20260908_013309_layout_00,1.5,-0.25,0.25,1.0,13.482999801635742,13.817000389099121,30.700000762939453,3,6,6,8,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_01.json,1.0,1.5,20260908_013309_layout_01,1.5,-0.25,0.25,1.0,13.166999816894531,13.517000198364258,30.700000762939453,4,7,7,8,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_02.json,1.0,1.5,20260908_013309_layout_02,1.5,-0.25,0.25,1.0,13.383000373840332,13.782999992370605,30.700000762939453,8,6,5,10,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_03.json,1.0,1.5,20260908_013309_layout_03,1.5,-0.25,0.25,1.0,13.383000373840332,13.767000198364258,30.700000762939453,6,4,4,7,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_04.json,1.0,1.5,20260908_013309_layout_04,1.5,-0.25,0.25,1.0,13.300000190734863,13.649999618530273,30.700000762939453,8,8,7,9,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_05.json,1.0,1.5,20260908_013309_layout_05,1.5,-0.25,0.25,1.0,13.317000389099121,13.649999618530273,30.700000762939453,6,7,7,8,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_06.json,1.0,1.5,20260908_013309_layout_06,1.5,-0.25,0.25,1.0,13.600000381469727,13.967000007629395,30.700000762939453,3,6,6,9,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_07.json,1.0,1.5,20260908_013309_layout_07,1.5,-0.25,0.25,1.0,13.182999610900879,13.517000198364258,30.700000762939453,4,4,4,6,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_08.json,1.0,1.5,20260908_013309_layout_08,1.5,-0.25,0.25,1.0,12.967000007629395,13.300000190734863,30.700000762939453,6,6,6,8,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_09.json,1.0,1.5,20260908_013309_layout_09,1.5,-0.25,0.25,1.0,13.482999801635742,13.817000389099121,30.700000762939453,8,5,6,7,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_10.json,1.0,1.5,20260908_013309_layout_10,1.5,-0.25,0.25,1.0,13.267000198364258,13.633000373840332,30.700000762939453,5,4,4,8,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_11.json,1.0,1.5,20260908_013309_layout_11,1.5,-0.25,0.25,1.0,13.300000190734863,13.633999824523926,30.700000762939453,6,7,7,6,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_12.json,1.0,1.5,20260908_013309_layout_12,1.5,-0.25,0.25,1.0,13.25,13.600000381469727,30.700000762939453,6,7,7,11,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_13.json,1.0,1.5,20260908_013309_layout_13,1.5,-0.25,0.25,1.0,13.182999610900879,13.517000198364258,30.700000762939453,4,5,5,4,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_14.json,1.0,1.5,20260908_013309_layout_14,1.5,-0.25,0.25,1.0,13.600000381469727,13.949999809265137,30.700000762939453,6,6,6,8,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_15.json,1.0,1.5,20260908_013309_layout_15,1.5,-0.25,0.25,1.0,13.467000007629395,13.866000175476074,30.700000762939453,6,6,6,7,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_16.json,1.0,1.5,20260908_013309_layout_16,1.5,-0.25,0.25,1.0,13.032999992370605,13.366999626159668,30.700000762939453,7,8,8,7,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_17.json,1.0,1.5,20260908_013309_layout_17,1.5,-0.25,0.25,1.0,13.116000175476074,13.482999801635742,30.700000762939453,4,5,5,6,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_18.json,1.0,1.5,20260908_013309_layout_18,1.5,-0.25,0.25,1.0,13.217000007629395,13.550000190734863,30.700000762939453,5,6,7,6,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_19.json,1.0,1.5,20260908_013309_layout_19,1.5,-0.25,0.25,1.0,14.317000389099121,14.967000007629395,30.700000762939453,6,6,8,13,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_20.json,1.0,1.5,20260908_013309_layout_20,1.5,-0.25,0.25,1.0,13.366999626159668,13.717000007629395,30.700000762939453,4,5,5,6,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_21.json,1.0,1.5,20260908_013309_layout_21,1.5,-0.25,0.25,1.0,13.317000389099121,13.649999618530273,30.700000762939453,7,8,8,12,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_22.json,1.0,1.5,20260908_013309_layout_22,1.5,-0.25,0.25,1.0,13.232999801635742,13.567000389099121,30.700000762939453,6,3,3,3,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_23.json,1.0,1.5,20260908_013309_layout_23,1.5,-0.25,0.25,1.0,13.317000389099121,13.666999816894531,30.700000762939453,9,4,5,4,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_24.json,1.0,1.5,20260908_013309_layout_24,1.5,-0.25,0.25,1.0,13.199999809265137,13.532999992370605,30.700000762939453,6,5,4,8,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_25.json,1.0,1.5,20260908_013309_layout_25,1.5,-0.25,0.25,1.0,13.149999618530273,13.482999801635742,30.700000762939453,5,4,4,9,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_26.json,1.0,1.5,20260908_013309_layout_26,1.5,-0.25,0.25,1.0,13.0,13.366999626159668,30.700000762939453,4,5,7,9,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_27.json,1.0,1.5,20260908_013309_layout_27,1.5,-0.25,0.25,1.0,13.366999626159668,13.699999809265137,30.700000762939453,7,4,3,6,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_28.json,1.0,1.5,20260908_013309_layout_28,1.5,-0.25,0.25,1.0,13.067000389099121,13.399999618530273,30.700000762939453,7,9,10,8,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_29.json,1.0,1.5,20260908_013309_layout_29,1.5,-0.25,0.25,1.0,12.899999618530273,13.232999801635742,30.700000762939453,5,5,5,4,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_30.json,1.0,1.5,20260908_013309_layout_30,1.5,-0.25,0.25,1.0,13.182999610900879,13.532999992370605,30.700000762939453,3,7,6,8,timeout
type_flocking_randommovement_0.00_perceptionrad_1.00_maxspeed_1.50_20260908_013309_layout_31.json,1.0,1.5,20260908_013309_layout_31,1.5,-0.25,0.25,1.0,13.532999992370605,13.883000373840332,30.700000762939453,9,8,8,7,timeout
